,,,"Post","Post",,"BackLeg"," ",,"AheadLeg",,,
5,46,"SLO","R",21.97,"SOUTH JCT. RTE. 101                                                                                           ",480,5400,4500,"      ","       ","       ",
5,46,"SLO"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
5,46,"SLO"," ",29.76,"PASO ROBLES, NORTH JCT. RTE. 101                                                                              ","      ","       ","       ",2450,24600,18800,
5,46,"SLO"," ",32.15,"PASO ROBLES, AIRPORT ROAD                                                                                     ",2250,21200,17000,1650,16600,14200,
5,46,"SLO"," ",45.48,"MC MILLAN CANYON ROAD                                                                                         ",1650,16600,14200,1300,13200,9900,
5,46,"SLO"," ",48.63,"JCT. RTE. 41 SOUTH                                                                                            ",1300,13200,9900,1350,13200,10000,
5,46,"SLO"," ",49.54,"SHANDON SAFETY   ROADSIDE REST AREA                                                                           ","      ","       ","       ","      ","       ","       ",
5,46,"SLO"," ",54.04,"CHOLAME                                                                                                       ",1350,14000,10000,1350,13000,10000,
5,46,"SLO"," ",55.11,"JCT. RTE. 41 NORTHEAST                                                                                        ",1350,13000,10000,670,6400,5400,
5,46,"SLO"," ",60.85,"SAN LUIS OBISPO-KERN   COUNTY LINE                                                                            ",670,6400,5400,"      ","       ","       ",
6,46,"KER"," ",0,"SAN LUIS OBISPO-KERN   COUNTY LINE                                                                            ","      ","       ","       ",670,6400,5400,
6,46,"KER"," ",7.33,"KECKS CORNER, COALINGA ROAD                                                                                   ",970,6900,5900,970,6900,5900,
6,46,"KER"," ",20.54,"BLACKWELLS CORNER, JCT. RTE. 33                                                                               ",750,7000,5600,570,7000,5600,
6,46,"KER"," ",27.48,"BROWN MATERIAL ROAD                                                                                           ",460,5500,4050,460,5500,4050,
6,46,"KER"," ",32.18,"WARREN DRIVE                                                                                                  ",460,5500,4050,520,6200,4550,
6,46,"KER"," ",32.53,"JCT. RTE. 5                                                                                                   ",520,6200,4550,610,6000,4850,
6,46,"KER"," ",32.72,"BUFORD STREET                                                                                                 ",610,6000,4850,560,6100,5300,
6,46,"KER"," ",36.84,"CORCORAN ROAD                                                                                                 ",560,6100,5300,480,6100,5400,
6,46,"KER"," ",43.02,"ROWLEE ROAD                                                                                                   ",460,5600,4500,420,4900,4450,
6,46,"KER"," ",50.02,"WASCO, PALM AVENUE                                                                                            ",780,9100,8300,860,10100,9200,
6,46,"KER"," ",50.9,"WASCO, JCT. RTE. 43 SOUTH,   F STREET                                                                         ",800,9100,8300,790,9000,8200,
6,46,"KER"," ",51.22,"WASCO, JCT. RTE. 43 NORTH,   CENTRAL VALLEY ROAD                                                              ",790,9000,8200,530,5400,5100,
6,46,"KER"," ",54.09,"SMITH AVENUE                                                                                                  ",500,5000,4750,490,4900,4650,
6,46,"KER"," ",57.79,"FAMOSO, JCT. RTE. 99                                                                                          ",450,5400,5000,"      ","       ","       ",
7,47," LA"," ","       ","LOS ANGELES COUNTY                                                                                            ","      ","       ","       ","      ","       ","       ",
7,47," LA","R",0,"SAN PEDRO, JCT. RTE. 110,   HARBOR FREEWAY                                                                    ","      ","       ","       ",4450,46000,43500,
7,47," LA","R",0.43,"SAN PEDRO, HARBOR   BOULEVARD INTERCHANGE                                                                     ",4450,46000,43500,3900,42000,38000,
7,47," LA"," ",2.01,"END FREEWAY                                                                                                   ",,,,,,,
7,47," LA"," ",2.3,"TERMINAL ISLAND, VINCENT   THOMAS TOLL BRIDGE PLAZA,  SEASIDE BOULEVARD                                       ",3900,42000,38000,"      ","       ","       ",
7,47," LA"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
7,47," LA"," ",3.5,"LONG BEACH, SEASIDE BOULEVAR  BEGIN TERMINAL ISLAND FREEWAY                                                   ","      ","       ","       ",1850,13000,12100,
7,47," LA"," ",3.58,"LONG BEACH, NEW DOCK   STREET CONNECTIONS                                                                     ",1850,13000,12100,2800,19700,18300,
7,47," LA"," ",3.87,"LONG BEACH, COMMODORE   S. F. HEIM LIFT BRIDGE                                                                ",2800,19700,18300,"      ","       ","       ",
6,49,"MAD"," ","       ","MADERA COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
6,49,"MAD"," ",0,"OAKHURST, JCT. RTE. 41                                                                                        ","      ","       ","       ",710,8800,8400,
